draft_position,fantasy_league_id,fantasy_team_id,fantasy_team_name
12.01,10,104,Ross
12.02,10,101,Cody
12.03,10,99,Christian/Zach
12.04,10,106,Zach Taylor
12.05,10,90,Riss/Ehrman
12.06,10,93,Teeter
12.07,10,105,Gavin/Sahil
12.08,10,79,Bro/Heli
12.09,10,109,Matthias/Casey
12.1,10,108,Marcus/Doug
12.11,10,107,Jim
12.12,10,103,Jason
12.13,10,102,Ryan/Aaron
12.14,10,79,Bro/Heli
13.01,10,102,Ryan/Aaron
13.02,10,103,Jason
13.03,10,92,Nelson
13.04,10,107,Jim
13.05,10,108,Marcus/Doug
13.06,10,109,Matthias/Casey
13.07,10,90,Riss/Ehrman
13.08,10,105,Gavin/Sahil
13.09,10,93,Teeter
13.1,10,90,Riss/Ehrman
13.11,10,106,Zach Taylor
13.12,10,99,Christian/Zach
13.13,10,101,Cody
13.14,10,104,Ross
14.01,10,104,Ross
14.02,10,101,Cody
14.03,10,99,Christian/Zach
14.04,10,106,Zach Taylor
14.05,10,90,Riss/Ehrman
14.06,10,93,Teeter
14.07,10,105,Gavin/Sahil
14.08,10,109,Matthias/Casey
14.09,10,108,Marcus/Doug
14.1,10,107,Jim
14.11,10,92,Nelson
14.12,10,103,Jason
14.13,10,102,Ryan/Aaron
15.01,10,102,Ryan/Aaron
15.02,10,103,Jason
15.03,10,92,Nelson
15.04,10,107,Jim
15.05,10,108,Marcus/Doug
15.06,10,109,Matthias/Casey
15.07,10,105,Gavin/Sahil
15.08,10,93,Teeter
15.09,10,90,Riss/Ehrman
15.1,10,106,Zach Taylor
15.11,10,99,Christian/Zach
15.12,10,101,Cody
15.13,10,104,Ross
15.14,10,90,Riss/Ehrman
16.01,10,104,Ross
16.02,10,101,Cody
16.03,10,99,Christian/Zach
16.04,10,106,Zach Taylor
16.05,10,90,Riss/Ehrman
16.06,10,93,Teeter
16.07,10,105,Gavin/Sahil
16.08,10,79,Bro/Heli
16.09,10,109,Matthias/Casey
16.1,10,108,Marcus/Doug
16.11,10,107,Jim
16.12,10,92,Nelson
16.13,10,103,Jason
16.14,10,102,Ryan/Aaron
17.01,10,102,Ryan/Aaron
17.02,10,103,Jason
17.03,10,92,Nelson
17.04,10,107,Jim
17.05,10,108,Marcus/Doug
17.06,10,109,Matthias/Casey
17.07,10,90,Riss/Ehrman
17.08,10,105,Gavin/Sahil
17.09,10,93,Teeter
17.1,10,90,Riss/Ehrman
17.11,10,106,Zach Taylor
17.12,10,99,Christian/Zach
17.13,10,101,Cody
17.14,10,104,Ross
18.01,10,104,Ross
18.02,10,101,Cody
18.03,10,99,Christian/Zach
18.04,10,106,Zach Taylor
18.05,10,90,Riss/Ehrman
18.06,10,93,Teeter
18.07,10,105,Gavin/Sahil
18.08,10,109,Matthias/Casey
18.09,10,108,Marcus/Doug
18.1,10,107,Jim
18.11,10,92,Nelson
18.12,10,103,Jason
18.13,10,102,Ryan/Aaron
19.01,10,102,Ryan/Aaron
19.02,10,92,Nelson
19.03,10,107,Jim
19.04,10,108,Marcus/Doug
19.05,10,109,Matthias/Casey
19.06,10,105,Gavin/Sahil
19.07,10,93,Teeter
19.08,10,90,Riss/Ehrman
19.09,10,106,Zach Taylor
19.1,10,99,Christian/Zach
19.11,10,101,Cody
19.12,10,104,Ross
20.01,10,104,Ross
20.02,10,101,Cody
20.03,10,99,Christian/Zach
20.04,10,106,Zach Taylor
20.05,10,93,Teeter
20.06,10,105,Gavin/Sahil
20.07,10,109,Matthias/Casey
20.08,10,108,Marcus/Doug
20.09,10,107,Jim
20.1,10,92,Nelson
20.11,10,102,Ryan/Aaron
