Draft Position,Fantasy League Id,Fantasy Team Id,Fantasy Player Id
1.01,1,12,422
1.02,1,3,300
1.03,1,8,463
1.04,1,16,472
1.05,1,2,370
1.06,1,12,227
1.07,1,23,206
1.08,1,15,1
1.09,1,4,291
1.1,1,11,398
1.11,1,18,70
1.12,1,9,230
1.13,1,7,68
1.14,1,6,207
2.01,1,6,371
2.02,1,7,248
2.03,1,9,437
2.04,1,18,381
2.05,1,11,336
2.06,1,4,364
2.07,1,12,333
2.08,1,2,58
2.09,1,16,270
2.1,1,8,309
2.11,1,3,428
2.12,1,1,362
3.01,1,1,239
3.02,1,3,75
3.03,1,8,382
3.04,1,16,208
3.05,1,2,98
3.06,1,12,268
3.07,1,23,111
3.08,1,15,186
3.09,1,4,383
3.1,1,11,259
3.11,1,7,326
3.12,1,6,242
4.01,1,6,350
4.02,1,7,194
4.03,1,9,384
4.04,1,4,12
4.05,1,12,64
4.06,1,2,267
4.07,1,16,20
4.08,1,8,369
4.09,1,3,159
4.1,1,1,285
5.01,1,1,67
5.02,1,3,226
5.03,1,8,33
5.04,1,2,10
5.05,1,12,484
5.06,1,23,82
5.07,1,15,498
5.08,1,4,445
5.09,1,11,475
5.1,1,18,41
5.11,1,9,366
5.12,1,7,301
5.13,1,6,282
6.01,1,6,289
6.02,1,7,209
6.03,1,9,78
6.04,1,11,158
6.05,1,4,377
6.06,1,15,61
6.07,1,12,23
6.08,1,11,449
6.09,1,16,368
6.1,1,8,210
6.11,1,3,284
6.12,1,6,385
7.01,1,1,146
7.02,1,3,213
7.03,1,8,245
7.04,1,2,464
7.05,1,12,16
7.06,1,15,420
7.07,1,4,386
7.08,1,11,211
7.09,1,18,266
7.1,1,9,413
7.11,1,7,486
7.12,1,6,54
7.13,1,18,109
8.01,1,6,24
8.02,1,7,280
8.03,1,9,212
8.04,1,18,418
8.05,1,11,387
8.06,1,4,315
8.07,1,15,432
8.08,1,12,427
8.09,1,2,388
8.1,1,16,424
8.11,1,8,262
8.12,1,3,214
8.13,1,1,273
9.01,1,1,180
9.02,1,3,129
9.03,1,8,125
9.04,1,16,346
9.05,1,2,55
9.06,1,12,74
