draft_position,fantasy_league_id,fantasy_team_id,fantasy_team_name
2.01,6,66,Scotchy-Scotch
2.02,6,62,Venice
2.03,6,64,Mick/Brian
2.04,6,65,Christian/Zach
2.05,6,60,Ryan/Aaron
2.06,6,63,THE LIFE OF JASO
2.07,6,59,Ben/Nick/Taylor
2.08,6,61,Tom/Josh
3.01,6,61,Tom/Josh
3.02,6,59,Ben/Nick/Taylor
3.03,6,63,THE LIFE OF JASO
3.04,6,60,Ryan/Aaron
3.05,6,65,Christian/Zach
3.06,6,64,Mick/Brian
3.07,6,62,Venice
3.08,6,66,Scotchy-Scotch
4.01,6,66,Scotchy-Scotch
4.02,6,62,Venice
4.03,6,64,Mick/Brian
4.04,6,65,Christian/Zach
4.05,6,60,Ryan/Aaron
4.06,6,63,THE LIFE OF JASO
4.07,6,59,Ben/Nick/Taylor
4.08,6,61,Tom/Josh
5.01,6,61,Tom/Josh
5.02,6,59,Ben/Nick/Taylor
5.03,6,63,THE LIFE OF JASO
5.04,6,60,Ryan/Aaron
5.05,6,65,Christian/Zach
5.06,6,64,Mick/Brian
5.07,6,62,Venice
5.08,6,66,Scotchy-Scotch
6.01,6,66,Scotchy-Scotch
6.02,6,62,Venice
6.03,6,64,Mick/Brian
6.04,6,65,Christian/Zach
6.05,6,60,Ryan/Aaron
6.06,6,63,THE LIFE OF JASO
6.07,6,59,Ben/Nick/Taylor
6.08,6,61,Tom/Josh
7.01,6,61,Tom/Josh
7.02,6,59,Ben/Nick/Taylor
7.03,6,63,THE LIFE OF JASO
7.04,6,60,Ryan/Aaron
7.05,6,65,Christian/Zach
7.06,6,64,Mick/Brian
7.07,6,62,Venice
7.08,6,66,Scotchy-Scotch
8.01,6,66,Scotchy-Scotch
8.02,6,62,Venice
8.03,6,64,Mick/Brian
8.04,6,65,Christian/Zach
8.05,6,60,Ryan/Aaron
8.06,6,63,THE LIFE OF JASO
8.07,6,59,Ben/Nick/Taylor
8.08,6,61,Tom/Josh
9.01,6,61,Tom/Josh
9.02,6,59,Ben/Nick/Taylor
9.03,6,63,THE LIFE OF JASO
9.04,6,60,Ryan/Aaron
9.05,6,65,Christian/Zach
9.06,6,64,Mick/Brian
9.07,6,62,Venice
9.08,6,66,Scotchy-Scotch
10.01,6,66,Scotchy-Scotch
10.02,6,62,Venice
10.03,6,64,Mick/Brian
10.04,6,65,Christian/Zach
10.05,6,60,Ryan/Aaron
10.06,6,63,THE LIFE OF JASO
10.07,6,59,Ben/Nick/Taylor
10.08,6,61,Tom/Josh
11.01,6,61,Tom/Josh
11.02,6,59,Ben/Nick/Taylor
11.03,6,63,THE LIFE OF JASO
11.04,6,60,Ryan/Aaron
11.05,6,65,Christian/Zach
11.06,6,64,Mick/Brian
11.07,6,62,Venice
11.08,6,66,Scotchy-Scotch
12.01,6,66,Scotchy-Scotch
12.02,6,62,Venice
12.03,6,64,Mick/Brian
12.04,6,65,Christian/Zach
12.05,6,60,Ryan/Aaron
12.06,6,63,THE LIFE OF JASO
12.07,6,59,Ben/Nick/Taylor
12.08,6,61,Tom/Josh
13.01,6,61,Tom/Josh
13.02,6,59,Ben/Nick/Taylor
13.03,6,63,THE LIFE OF JASO
13.04,6,60,Ryan/Aaron
13.05,6,65,Christian/Zach
13.06,6,64,Mick/Brian
13.07,6,62,Venice
13.08,6,66,Scotchy-Scotch
14.01,6,66,Scotchy-Scotch
14.02,6,62,Venice
14.03,6,64,Mick/Brian
14.04,6,65,Christian/Zach
14.05,6,60,Ryan/Aaron
14.06,6,63,THE LIFE OF JASO
14.07,6,59,Ben/Nick/Taylor
14.08,6,61,Tom/Josh
15.01,6,61,Tom/Josh
15.02,6,59,Ben/Nick/Taylor
15.03,6,63,THE LIFE OF JASO
15.04,6,60,Ryan/Aaron
15.05,6,65,Christian/Zach
15.06,6,64,Mick/Brian
15.07,6,62,Venice
15.08,6,66,Scotchy-Scotch
16.01,6,66,Scotchy-Scotch
16.02,6,62,Venice
16.03,6,64,Mick/Brian
16.04,6,65,Christian/Zach
16.05,6,60,Ryan/Aaron
16.06,6,63,THE LIFE OF JASO
16.07,6,59,Ben/Nick/Taylor
16.08,6,61,Tom/Josh
17.01,6,61,Tom/Josh
17.02,6,59,Ben/Nick/Taylor
17.03,6,63,THE LIFE OF JASO
17.04,6,60,Ryan/Aaron
17.05,6,65,Christian/Zach
17.06,6,64,Mick/Brian
17.07,6,62,Venice
17.08,6,66,Scotchy-Scotch
18.01,6,66,Scotchy-Scotch
18.02,6,62,Venice
18.03,6,64,Mick/Brian
18.04,6,65,Christian/Zach
18.05,6,60,Ryan/Aaron
18.06,6,63,THE LIFE OF JASO
18.07,6,59,Ben/Nick/Taylor
18.08,6,61,Tom/Josh
19.01,6,61,Tom/Josh
19.02,6,59,Ben/Nick/Taylor
19.03,6,63,THE LIFE OF JASO
19.04,6,60,Ryan/Aaron
19.05,6,65,Christian/Zach
19.06,6,64,Mick/Brian
19.07,6,62,Venice
19.08,6,66,Scotchy-Scotch
20.01,6,66,Scotchy-Scotch
20.02,6,62,Venice
20.03,6,64,Mick/Brian
20.04,6,65,Christian/Zach
20.05,6,60,Ryan/Aaron
20.06,6,63,THE LIFE OF JASO
20.07,6,59,Ben/Nick/Taylor
20.08,6,61,Tom/Josh
