draft_position,fantasy_league_id,fantasy_team_id,fantasy_team_name
1.01,4,34,Axel
1.02,4,44,Zach
1.03,4,37,Wilson
1.04,4,36,Bartch
1.05,4,38,Miller/Wernz
1.06,4,43,Jake
1.07,4,31,Brown
1.08,4,33,Kintz/Mori
1.09,4,41,Davie/Paul
1.1,4,58,Tom
1.11,4,32,Consortium
1.12,4,39,Flo
1.13,4,54,Bailey
1.14,4,48,Hughes
2.01,4,48,Hughes
2.02,4,54,Bailey
2.03,4,39,Flo
2.04,4,32,Consortium
2.05,4,58,Tom
2.06,4,41,Davie/Paul
2.07,4,33,Kintz/Mori
2.08,4,31,Brown
2.09,4,43,Jake
2.1,4,38,Miller/Wernz
2.11,4,36,Bartch
2.12,4,37,Wilson
2.13,4,34,Axel
3.01,4,34,Axel
3.02,4,44,Zach
3.03,4,37,Wilson
3.04,4,36,Bartch
3.05,4,38,Miller/Wernz
3.06,4,43,Jake
3.07,4,31,Brown
3.08,4,33,Kintz/Mori
3.09,4,41,Davie/Paul
3.1,4,32,Consortium
3.11,4,39,Flo
4.01,4,54,Bailey
4.02,4,39,Flo
4.03,4,32,Consortium
4.04,4,58,Tom
4.05,4,41,Davie/Paul
4.06,4,33,Kintz/Mori
4.07,4,31,Brown
4.08,4,43,Jake
4.09,4,38,Miller/Wernz
4.1,4,36,Bartch
4.11,4,37,Wilson
4.12,4,44,Zach
4.13,4,34,Axel
5.01,4,34,Axel
5.02,4,44,Zach
5.03,4,37,Wilson
5.04,4,36,Bartch
5.05,4,38,Miller/Wernz
5.06,4,31,Brown
5.07,4,33,Kintz/Mori
5.08,4,41,Davie/Paul
5.09,4,58,Tom
5.1,4,32,Consortium
5.11,4,39,Flo
5.12,4,54,Bailey
6.01,4,48,Hughes
6.02,4,54,Bailey
6.03,4,39,Flo
6.04,4,32,Consortium
6.05,4,58,Tom
6.06,4,41,Davie/Paul
6.07,4,33,Kintz/Mori
6.08,4,31,Brown
6.09,4,43,Jake
6.1,4,38,Miller/Wernz
6.11,4,36,Bartch
6.12,4,37,Wilson
6.13,4,44,Zach
6.14,4,34,Axel
7.01,4,34,Axel
7.02,4,44,Zach
7.03,4,37,Wilson
7.04,4,36,Bartch
7.05,4,38,Miller/Wernz
7.06,4,43,Jake
7.07,4,31,Brown
7.08,4,33,Kintz/Mori
7.09,4,41,Davie/Paul
7.1,4,58,Tom
7.11,4,32,Consortium
7.12,4,39,Flo
7.13,4,37,Wilson
8.01,4,48,Hughes
8.02,4,54,Bailey
8.03,4,39,Flo
8.04,4,32,Consortium
8.05,4,58,Tom
8.06,4,41,Davie/Paul
8.07,4,33,Kintz/Mori
8.08,4,48,Hughes
8.09,4,43,Jake
8.1,4,38,Miller/Wernz
8.11,4,36,Bartch
8.12,4,37,Wilson
8.13,4,44,Zach
8.14,4,34,Axel
9.01,4,34,Axel
9.02,4,44,Zach
9.03,4,37,Wilson
9.04,4,36,Bartch
9.05,4,38,Miller/Wernz
9.06,4,43,Jake
9.07,4,33,Kintz/Mori
9.08,4,41,Davie/Paul
9.09,4,58,Tom
9.1,4,32,Consortium
9.11,4,39,Flo
9.12,4,54,Bailey
9.13,4,48,Hughes
10.01,4,48,Hughes
10.02,4,54,Bailey
10.03,4,39,Flo
10.04,4,32,Consortium
10.05,4,58,Tom
10.06,4,41,Davie/Paul
10.07,4,31,Brown
10.08,4,31,Brown
10.09,4,43,Jake
10.1,4,38,Miller/Wernz
10.11,4,36,Bartch
10.12,4,37,Wilson
10.13,4,44,Zach
10.14,4,34,Axel
10.15,4,31,Brown
11.01,4,34,Axel
11.02,4,44,Zach
11.03,4,37,Wilson
11.04,4,36,Bartch
11.05,4,38,Miller/Wernz
11.06,4,43,Jake
11.07,4,33,Kintz/Mori
11.08,4,41,Davie/Paul
11.09,4,58,Tom
11.1,4,32,Consortium
11.11,4,39,Flo
11.12,4,54,Bailey
11.13,4,48,Hughes
12.01,4,48,Hughes
12.02,4,54,Bailey
12.03,4,39,Flo
12.04,4,32,Consortium
12.05,4,58,Tom
12.06,4,33,Kintz/Mori
12.07,4,41,Davie/Paul
12.08,4,38,Miller/Wernz
12.09,4,36,Bartch
12.1,4,37,Wilson
12.11,4,44,Zach
12.12,4,34,Axel
13.01,4,34,Axel
13.02,4,44,Zach
13.03,4,37,Wilson
13.04,4,36,Bartch
13.05,4,38,Miller/Wernz
13.06,4,43,Jake
13.07,4,31,Brown
13.08,4,33,Kintz/Mori
13.09,4,41,Davie/Paul
13.1,4,58,Tom
13.11,4,32,Consortium
13.12,4,39,Flo
13.13,4,54,Bailey
13.14,4,48,Hughes
14.01,4,48,Hughes
14.02,4,54,Bailey
14.03,4,39,Flo
14.04,4,32,Consortium
14.05,4,58,Tom
14.06,4,41,Davie/Paul
14.07,4,33,Kintz/Mori
14.08,4,31,Brown
14.09,4,43,Jake
14.1,4,38,Miller/Wernz
14.11,4,36,Bartch
14.12,4,37,Wilson
14.13,4,44,Zach
14.14,4,34,Axel
15.01,4,34,Axel
15.02,4,44,Zach
15.03,4,37,Wilson
15.04,4,36,Bartch
15.05,4,38,Miller/Wernz
15.06,4,43,Jake
15.07,4,33,Kintz/Mori
15.08,4,41,Davie/Paul
15.09,4,58,Tom
15.1,4,32,Consortium
15.11,4,39,Flo
15.12,4,54,Bailey
15.13,4,48,Hughes
15.14,4,33,Kintz/Mori
16.01,4,48,Hughes
16.02,4,54,Bailey
16.03,4,39,Flo
16.04,4,32,Consortium
16.05,4,58,Tom
16.06,4,41,Davie/Paul
16.07,4,33,Kintz/Mori
16.08,4,31,Brown
16.09,4,43,Jake
16.1,4,38,Miller/Wernz
16.11,4,36,Bartch
16.12,4,37,Wilson
16.13,4,44,Zach
16.14,4,34,Axel
16.15,4,43,Jake
16.16,4,31,Brown
17.01,4,34,Axel
17.02,4,44,Zach
17.03,4,37,Wilson
17.04,4,36,Bartch
17.05,4,38,Miller/Wernz
17.06,4,43,Jake
17.07,4,31,Brown
17.08,4,33,Kintz/Mori
17.09,4,41,Davie/Paul
17.1,4,58,Tom
17.11,4,32,Consortium
17.12,4,39,Flo
17.13,4,54,Bailey
17.14,4,48,Hughes
18.01,4,48,Hughes
18.02,4,54,Bailey
18.03,4,39,Flo
18.04,4,32,Consortium
18.05,4,58,Tom
18.06,4,31,Brown
18.07,4,33,Kintz/Mori
18.08,4,31,Brown
18.09,4,43,Jake
18.1,4,38,Miller/Wernz
18.11,4,36,Bartch
18.12,4,37,Wilson
18.13,4,44,Zach
18.14,4,34,Axel
18.15,4,43,Jake
19.01,4,34,Axel
19.02,4,44,Zach
19.03,4,37,Wilson
19.04,4,36,Bartch
19.05,4,38,Miller/Wernz
19.06,4,43,Jake
19.07,4,31,Brown
19.08,4,33,Kintz/Mori
19.09,4,41,Davie/Paul
19.1,4,58,Tom
19.11,4,32,Consortium
19.12,4,39,Flo
19.13,4,54,Bailey
19.14,4,48,Hughes
19.15,4,48,Hughes
19.16,4,54,Bailey
19.17,4,58,Tom
19.18,4,31,Brown
20.01,4,48,Hughes
20.02,4,54,Bailey
20.03,4,39,Flo
20.04,4,32,Consortium
20.05,4,58,Tom
20.06,4,41,Davie/Paul
20.07,4,33,Kintz/Mori
20.08,4,31,Brown
20.09,4,43,Jake
20.1,4,38,Miller/Wernz
20.11,4,36,Bartch
20.12,4,48,Hughes
20.13,4,44,Zach
20.14,4,34,Axel
20.15,4,44,Zach
20.16,4,41,Davie/Paul
20.17,4,54,Bailey
20.18,4,48,Hughes
1.01,5,42,Bro/Heli
1.02,5,52,Mike
1.03,5,35,BD
1.04,5,45,Vondy/Clark
1.05,5,50,Murphy
1.06,5,57,Mick/Jason
1.07,5,55,Nelson
1.08,5,49,Erik/Gavin
1.09,5,51,Tim
1.1,5,40,G-Brew
1.11,5,53,Riss/Ehrman
1.12,5,47,Evan
1.13,5,56,Teeter
1.14,5,46,Adam/Mike
2.01,5,46,Adam/Mike
2.02,5,56,Teeter
2.03,5,47,Evan
2.04,5,53,Riss/Ehrman
2.05,5,40,G-Brew
2.06,5,51,Tim
2.07,5,49,Erik/Gavin
2.08,5,55,Nelson
2.09,5,57,Mick/Jason
2.1,5,50,Murphy
2.11,5,45,Vondy/Clark
2.12,5,35,BD
2.13,5,52,Mike
2.14,5,42,Bro/Heli
2.15,5,40,G-Brew
3.01,5,42,Bro/Heli
3.02,5,52,Mike
3.03,5,35,BD
3.04,5,45,Vondy/Clark
3.05,5,50,Murphy
3.06,5,57,Mick/Jason
3.07,5,55,Nelson
3.08,5,49,Erik/Gavin
3.09,5,51,Tim
3.1,5,40,G-Brew
3.11,5,53,Riss/Ehrman
3.12,5,57,Mick/Jason
3.13,5,56,Teeter
3.14,5,46,Adam/Mike
3.15,5,53,Riss/Ehrman
3.16,5,51,Tim
3.17,5,35,BD
4.01,5,46,Adam/Mike
4.02,5,56,Teeter
4.03,5,47,Evan
4.04,5,53,Riss/Ehrman
4.05,5,40,G-Brew
4.06,5,51,Tim
4.07,5,49,Erik/Gavin
4.08,5,55,Nelson
4.09,5,57,Mick/Jason
4.1,5,50,Murphy
4.11,5,45,Vondy/Clark
4.12,5,35,BD
4.13,5,52,Mike
4.14,5,42,Bro/Heli
4.15,5,53,Riss/Ehrman
5.01,5,42,Bro/Heli
5.02,5,52,Mike
5.03,5,35,BD
5.04,5,45,Vondy/Clark
5.05,5,50,Murphy
5.06,5,57,Mick/Jason
5.07,5,55,Nelson
5.08,5,49,Erik/Gavin
5.09,5,51,Tim
5.1,5,40,G-Brew
5.11,5,53,Riss/Ehrman
5.12,5,47,Evan
5.13,5,56,Teeter
5.14,5,46,Adam/Mike
5.15,5,40,G-Brew
5.16,5,42,Bro/Heli
6.01,5,46,Adam/Mike
6.02,5,56,Teeter
6.03,5,47,Evan
6.04,5,53,Riss/Ehrman
6.05,5,40,G-Brew
6.06,5,51,Tim
6.07,5,49,Erik/Gavin
6.08,5,55,Nelson
6.09,5,57,Mick/Jason
6.1,5,50,Murphy
6.11,5,45,Vondy/Clark
6.12,5,35,BD
6.13,5,52,Mike
6.14,5,42,Bro/Heli
7.01,5,42,Bro/Heli
7.02,5,52,Mike
7.03,5,35,BD
7.04,5,45,Vondy/Clark
7.05,5,50,Murphy
7.06,5,57,Mick/Jason
7.07,5,55,Nelson
7.08,5,49,Erik/Gavin
7.09,5,40,G-Brew
7.1,5,40,G-Brew
7.11,5,53,Riss/Ehrman
7.12,5,47,Evan
7.13,5,56,Teeter
7.14,5,46,Adam/Mike
7.15,5,51,Tim
8.01,5,46,Adam/Mike
8.02,5,56,Teeter
8.03,5,47,Evan
8.04,5,53,Riss/Ehrman
8.05,5,40,G-Brew
8.06,5,51,Tim
8.07,5,49,Erik/Gavin
8.08,5,55,Nelson
8.09,5,57,Mick/Jason
8.1,5,50,Murphy
8.11,5,45,Vondy/Clark
8.12,5,35,BD
8.13,5,52,Mike
8.14,5,42,Bro/Heli
9.01,5,42,Bro/Heli
9.02,5,52,Mike
9.03,5,35,BD
9.04,5,45,Vondy/Clark
9.05,5,50,Murphy
9.06,5,57,Mick/Jason
9.07,5,55,Nelson
9.08,5,49,Erik/Gavin
9.09,5,51,Tim
9.1,5,40,G-Brew
9.11,5,53,Riss/Ehrman
9.12,5,47,Evan
9.13,5,56,Teeter
9.14,5,46,Adam/Mike
9.15,5,53,Riss/Ehrman
10.01,5,46,Adam/Mike
10.02,5,56,Teeter
10.03,5,47,Evan
10.04,5,53,Riss/Ehrman
10.05,5,40,G-Brew
10.06,5,51,Tim
10.07,5,49,Erik/Gavin
10.08,5,55,Nelson
10.09,5,57,Mick/Jason
10.1,5,50,Murphy
10.11,5,45,Vondy/Clark
10.12,5,35,BD
10.13,5,52,Mike
11.01,5,42,Bro/Heli
11.02,5,52,Mike
11.03,5,35,BD
11.04,5,45,Vondy/Clark
11.05,5,50,Murphy
11.06,5,57,Mick/Jason
11.07,5,55,Nelson
11.08,5,49,Erik/Gavin
11.09,5,51,Tim
11.1,5,40,G-Brew
11.11,5,53,Riss/Ehrman
11.12,5,47,Evan
11.13,5,56,Teeter
11.14,5,46,Adam/Mike
11.15,5,42,Bro/Heli
12.01,5,46,Adam/Mike
12.02,5,56,Teeter
12.03,5,47,Evan
12.04,5,53,Riss/Ehrman
12.05,5,40,G-Brew
12.06,5,51,Tim
12.07,5,49,Erik/Gavin
12.08,5,55,Nelson
12.09,5,57,Mick/Jason
12.1,5,50,Murphy
12.11,5,45,Vondy/Clark
12.12,5,35,BD
12.13,5,52,Mike
12.14,5,42,Bro/Heli
12.15,5,42,Bro/Heli
12.16,5,40,G-Brew
13.01,5,42,Bro/Heli
13.02,5,52,Mike
13.03,5,35,BD
13.04,5,45,Vondy/Clark
13.05,5,50,Murphy
13.06,5,57,Mick/Jason
13.07,5,55,Nelson
13.08,5,49,Erik/Gavin
13.09,5,51,Tim
13.1,5,40,G-Brew
13.11,5,53,Riss/Ehrman
13.12,5,47,Evan
13.13,5,56,Teeter
13.14,5,46,Adam/Mike
14.01,5,46,Adam/Mike
14.02,5,56,Teeter
14.03,5,47,Evan
14.04,5,53,Riss/Ehrman
14.05,5,40,G-Brew
14.06,5,51,Tim
14.07,5,49,Erik/Gavin
14.08,5,55,Nelson
14.09,5,57,Mick/Jason
14.1,5,50,Murphy
14.11,5,45,Vondy/Clark
14.12,5,35,BD
14.13,5,52,Mike
14.14,5,42,Bro/Heli
15.01,5,42,Bro/Heli
15.02,5,52,Mike
15.03,5,35,BD
15.04,5,45,Vondy/Clark
15.05,5,50,Murphy
15.06,5,57,Mick/Jason
15.07,5,55,Nelson
15.08,5,49,Erik/Gavin
15.09,5,51,Tim
15.1,5,40,G-Brew
15.11,5,47,Evan
15.12,5,56,Teeter
15.13,5,46,Adam/Mike
15.14,5,42,Bro/Heli
16.01,5,46,Adam/Mike
16.02,5,56,Teeter
16.03,5,47,Evan
16.04,5,53,Riss/Ehrman
16.05,5,51,Tim
16.06,5,49,Erik/Gavin
16.07,5,55,Nelson
16.08,5,57,Mick/Jason
16.09,5,50,Murphy
16.1,5,45,Vondy/Clark
16.11,5,35,BD
16.12,5,52,Mike
17.01,5,42,Bro/Heli
17.02,5,52,Mike
17.03,5,35,BD
17.04,5,45,Vondy/Clark
17.05,5,50,Murphy
17.06,5,57,Mick/Jason
17.07,5,55,Nelson
17.08,5,49,Erik/Gavin
17.09,5,51,Tim
17.1,5,40,G-Brew
17.11,5,53,Riss/Ehrman
17.12,5,47,Evan
17.13,5,56,Teeter
17.14,5,46,Adam/Mike
18.01,5,46,Adam/Mike
18.02,5,56,Teeter
18.03,5,47,Evan
18.04,5,53,Riss/Ehrman
18.05,5,51,Tim
18.06,5,49,Erik/Gavin
18.07,5,55,Nelson
18.08,5,57,Mick/Jason
18.09,5,50,Murphy
18.1,5,45,Vondy/Clark
18.11,5,35,BD
18.12,5,52,Mike
18.13,5,42,Bro/Heli
19.01,5,52,Mike
19.02,5,45,Vondy/Clark
19.03,5,50,Murphy
19.04,5,57,Mick/Jason
19.05,5,55,Nelson
19.06,5,49,Erik/Gavin
19.07,5,51,Tim
19.08,5,47,Evan
19.09,5,56,Teeter
19.1,5,46,Adam/Mike
20.01,5,46,Adam/Mike
20.02,5,56,Teeter
20.03,5,47,Evan
20.04,5,49,Erik/Gavin
20.05,5,55,Nelson
20.06,5,47,Evan
20.07,5,50,Murphy
20.08,5,45,Vondy/Clark
20.09,5,35,BD
20.1,5,52,Mike
